version,seed,positive_id,target_fitted_all19_CA_RMSD_A,target_fitted_core5_15_CA_RMSD_A,native_contact_count,predicted_contact_count,native_contact_recovered,native_contact_recovery_fraction,predicted_contact_precision,interchain_atom_pairs_lt2A,interchain_min_heavy_distance_A,omega_native_cis,omega_native_trans,omega_predicted_cis,omega_predicted_trans,omega_abs_diff_mean_deg,structure
v1,17,KRpep-2d,1.715106602457891,0.4264164846411889,41,46,35,0.8536585365853658,0.7608695652173914,0,2.437099513150827,0,18,0,18,3.429654271373036,results/boltz-control-calibration-002/extracted/KRpep-2d-seed-17/boltz_results_KRpep-2d/predictions/KRpep-2d/KRpep-2d_model_0.cif
v1,42,KRpep-2d,23.846460284128874,21.469775963381036,41,56,0,0.0,0.0,0,2.4894680423335425,0,18,0,18,4.042458942192318,results/boltz-control-calibration-002/extracted/KRpep-2d-seed-42/boltz_results_KRpep-2d/predictions/KRpep-2d/KRpep-2d_model_0.cif
v1,101,KRpep-2d,0.7729016525304965,0.5154947671409896,41,46,37,0.9024390243902439,0.8043478260869565,0,2.420400696124507,0,18,0,18,3.677058295677041,results/boltz-control-calibration-002/extracted/KRpep-2d-seed-101/boltz_results_KRpep-2d/predictions/KRpep-2d/KRpep-2d_model_0.cif
v2,17,KRpep-2d,25.156900364025162,21.395477801213506,41,46,1,0.024390243902439025,0.021739130434782608,0,2.448111527974165,0,18,0,18,9.422987903458223,results/control-remediation-v2-002/extracted/KRpep-2d-seed-17/boltz_results_KRpep-2d/predictions/KRpep-2d/KRpep-2d_model_0.cif
v2,42,KRpep-2d,12.66689833973531,12.236537595647563,41,50,4,0.0975609756097561,0.08,0,2.452827269519808,0,18,0,18,9.062986626828511,results/control-remediation-v2-002/extracted/KRpep-2d-seed-42/boltz_results_KRpep-2d/predictions/KRpep-2d/KRpep-2d_model_0.cif
v2,101,KRpep-2d,14.47077639220606,11.029008993957461,41,49,12,0.2926829268292683,0.24489795918367346,0,2.4576350887387655,0,18,0,18,7.701401305590135,results/control-remediation-v2-002/extracted/KRpep-2d-seed-101/boltz_results_KRpep-2d/predictions/KRpep-2d/KRpep-2d_model_0.cif
v1,17,SCRAMBLE-20260914,,,,,,,,0,2.5119117907681385,,,,,,results/boltz-control-calibration-002/extracted/SCRAMBLE-20260914-seed-17/boltz_results_SCRAMBLE-20260914/predictions/SCRAMBLE-20260914/SCRAMBLE-20260914_model_0.cif
v1,42,SCRAMBLE-20260914,,,,,,,,0,2.405925078592432,,,,,,results/boltz-control-calibration-002/extracted/SCRAMBLE-20260914-seed-42/boltz_results_SCRAMBLE-20260914/predictions/SCRAMBLE-20260914/SCRAMBLE-20260914_model_0.cif
v1,101,SCRAMBLE-20260914,,,,,,,,0,2.455178755651001,,,,,,results/boltz-control-calibration-002/extracted/SCRAMBLE-20260914-seed-101/boltz_results_SCRAMBLE-20260914/predictions/SCRAMBLE-20260914/SCRAMBLE-20260914_model_0.cif
v2,17,SCRAMBLE-20260914,,,,,,,,0,2.4696940077062175,,,,,,results/control-remediation-v2-002/extracted/SCRAMBLE-20260914-seed-17/boltz_results_SCRAMBLE-20260914/predictions/SCRAMBLE-20260914/SCRAMBLE-20260914_model_0.cif
v2,42,SCRAMBLE-20260914,,,,,,,,0,2.4610472200671,,,,,,results/control-remediation-v2-002/extracted/SCRAMBLE-20260914-seed-42/boltz_results_SCRAMBLE-20260914/predictions/SCRAMBLE-20260914/SCRAMBLE-20260914_model_0.cif
v2,101,SCRAMBLE-20260914,,,,,,,,0,2.4042743662277823,,,,,,results/control-remediation-v2-002/extracted/SCRAMBLE-20260914-seed-101/boltz_results_SCRAMBLE-20260914/predictions/SCRAMBLE-20260914/SCRAMBLE-20260914_model_0.cif
